ETC_20150317_000001	Kepa
ETC_20150317_002240	Discarded the map again!
ETC_20150317_002241	Scouring the dust of the mountain
ETC_20150317_002242	You have obtained the map! Right-click it to use!
ETC_20150317_002243	Putting the map into the tube
ETC_20150317_002244	You have placed the map in the collection tube
ETC_20150317_002245	Picking up the map
ETC_20150317_002246	Acquired the map which was placed into the tube!
ETC_20150317_002247	As the blessing of the altar, you can run very fast for 30 seconds!
ETC_20150317_002248	I want to make a contribution of 100 silver.
ETC_20150317_002249	I want to make a contribution of 500 silver.
ETC_20150317_002250	I want to make a contribution of 1000 silver.
ETC_20150317_002251	I want to make a contribution of 40 silver.
ETC_20150317_002252	I want to make a contribution of 50 silver.
ETC_20150317_002253	I want to make a contribution of 100 silver.
ETC_20150317_002254	As promised, I donated 100 silver.
ETC_20150317_002255	As promised, I donated 500 silver.
ETC_20150317_002256	As promised, I donated 1000 silver.
ETC_20150317_002257	As promised, I donated 40 silver.
ETC_20150317_002258	As promised, I donated 50 silver.
ETC_20150317_002259	Collecting Dewdrops
ETC_20150317_002260	You have successfully collected dewdrops!
ETC_20150317_002261	Detected the monster which swallowed the flag to tear around here.{nl}Use V key for faith's mark!
ETC_20150317_002262	A lighting fighter curses the sanctum
ETC_20150317_002263	The lighting fighter appeared as the power of faith's mark!
ETC_20150317_002264	Blessed from Sanctum, it is able to make a power attack during 10 sec!
ETC_20150317_002265	Blessed from Sanctum, you will be received the spirit of divine during 10 sec!
ETC_20150317_002266	Worship the Goddess Statue
ETC_20150317_002267	Use warp
ETC_20150317_002268	Worshiping
ETC_20150317_002269	Picking up flowers for offering
ETC_20150317_002270	Plucked the flower!
ETC_20150317_002271	I lost in the fragrance of flowers.
ETC_20150317_002272	Buy
ETC_20150317_002273	Offer 10 silver
ETC_20150317_002274	Offered 10 silver!
ETC_20150317_002275	As the blessing of sanctum, the recovery time will be increased during 10 sec!
ETC_20150317_002276	Collecting dewdrops on the tombstone
ETC_20150317_002277	Successfully collected the dewdrops!
ETC_20150317_002278	You collected all the dewdrops in the leather pouch!
ETC_20150317_002279	Digging the roots
ETC_20150317_002280	Red Tree Ambulo
ETC_20150317_002281	Red Tree Ambulo appeared from root of reeds.
ETC_20150317_002282	You fainted from the root's poison!
ETC_20150317_002283	Obtained the monster's dead skin cell
ETC_20150317_002284	Preparing the Jar
ETC_20150317_002285	Collecting sap
ETC_20150317_002286	A patterned stone fell off from an unknown pillar!
ETC_20150317_002287	Obtained garbage 5ea again.
ETC_20150317_002288	Decoy Success 
ETC_20150317_002289	The other monster sensed the mold and approached!
ETC_20150317_002290	The movement speed has been decreased as step on the cactusvel's indolence!
ETC_20150317_002291	Shocked for a while after stepping on the corrupted place!
ETC_20150317_002292	Help me! Please let me out! Kill them!
ETC_20150317_002293	There is no response. Please re-try.
ETC_20150317_002294	The monster appeared from flower's root.
ETC_20150317_002295	Wounded as the reed leaf to be chafed!
ETC_20150317_002296	Couldn't catch anything!
ETC_20150317_002297	Took the flag of sanctum!
ETC_20150317_002298	failed to take the flag of sanctum!
ETC_20150317_002299	Insignia trigger
ETC_20150317_002300	Root Parasite Tree Ambulo
ETC_20150317_002301	Witas made a sleep!
ETC_20150317_002302	Succeeded in releasing the trapped soul!
ETC_20150317_002303	The soul is going to attack! Defeat them first!
ETC_20150317_002304	Succeeded in hunting the trapped monsters!
ETC_20150317_002305	Flower
ETC_20150317_002306	Altar-bound Soul
ETC_20150317_002307	Collected the herb!
ETC_20150317_002308	Bring the jar near the pond!
ETC_20150317_002309	You have already collected the sap!
ETC_20150317_002310	What is it?
ETC_20150317_002311	Archon seems to have recovered. Try talking to him!
ETC_20150317_002312	In the description of the area where you picked up the music box
ETC_20150317_002313	The garbage is full.{nl}First to use the garbage and then re collect it.
ETC_20150317_002314	Found a Piece of Vubbe Cloth! {nl} This might be a clue!
ETC_20150317_002315	The quest failed since the refugees have become exhausted! {nl} This quest cannot be restarted for five minutes.
ETC_20150317_002316	Failed the quest due to timeout! {nl} This quest cannot be restarted for five minutes.
ETC_20150317_002317	Using the Crest of Emptiness
ETC_20150317_002318	Use it in a surrounding pillar which has a similar shape.
ETC_20150317_002319	The barrier has already been released!
ETC_20150317_002320	Get Suteisu to worship the die Mina!
ETC_20150317_002321	Flashpoint of owl image is now off!
ETC_20150317_002322	I did not observe the flashpoint of the owl image!
ETC_20150317_002323	Sealed unit has been canceled!
ETC_20150317_002324	Talk with a very tired Drapelium
ETC_20150317_002325	Trying to persuade Drapeliun
ETC_20150317_002326	Drapeliun seems to have returned its human form again!
ETC_20150317_002327	There is no effect in talking with a spirited Drapeliun!
ETC_20150317_002328	Getting rid of food piles
ETC_20150317_002329	It can only be used on the road of large Frogfish.
ETC_20150317_002330	It cannot be used during certain quests in progress
ETC_20150317_002331	It has exploded as the searching the food place!
ETC_20150317_002332	Scared reblogged appearance in the dummy!
ETC_20150317_002333	I passed out during the dust explosion!
ETC_20150317_002334	Obtained the moist moss from Kowak!{nl}Spray to control a blaze to the Tree Root Crystal!
ETC_20150317_002335	Spraying the moss!
ETC_20150317_002336	The blaze is going to be managed after spraying.
ETC_20150317_002337	The blaze is done. Please destroy the transformation Tree Root Crystal.
ETC_20150317_002338	All monster entered into the box.
ETC_20150317_002339	Inputted monsters into the treasure box.
ETC_20150317_002340	You must defeat monsters around the treasure chest!
ETC_20150317_002341	Due to no have the core of Tree Root Crystal, we can't do it anything.{nl}Find out the core of crystal from monster nearby and destroy to input.
ETC_20150317_002342	Reacting to the crystal
ETC_20150317_002343	The monster's soul which have the core of Tree Root Crystal came out!
ETC_20150317_002344	Monster's soul came out
ETC_20150317_002345	We need to take out the souls by consuming the HP to bring monsters nearby!
ETC_20150317_002346	Modified tree root does not respond
ETC_20150317_002347	Medium reagent roots
ETC_20150317_002348	Reagent had been well dispersed! {nl} now the souls that came out are missing, please try to wait for a while!
ETC_20150317_002349	Does not have any reaction. {nl} Please try again in other monsters
ETC_20150317_002350	Flowers I can use for the necessary soul!
ETC_20150317_002351	I devoted all the offerings!
ETC_20150317_002352	Made an offering!
ETC_20150317_002353	You must lure and defeat monsters in the vicinity of the sanctum!
ETC_20150317_002354	Removed by robbing the ground which have the monster summon circles.
ETC_20150317_002355	Physical fitness of the goddess image is reduced to less than 60%! Please be discharged hit the {nl} vine!
ETC_20150317_002356	The health of the Goddess Statue is reduced to less than 20%! {nl} Get rid of the vines!
ETC_20150317_002357	The health of the Goddess Statue is reduced to less than 10%! {nl} Get rid of the vines!
ETC_20150317_002358	The flowers withered and died.
ETC_20150317_002359	Re-obtaining the picture
ETC_20150317_002360	Obtained the picture again
ETC_20150317_002361	Throwing the picture
ETC_20150317_002362	Thrown out the picture to the tombstone
ETC_20150317_002363	I am taking out a handkerchief once again
ETC_20150317_002364	You took out the handkerchief again
ETC_20150317_002365	Among surrounding the handkerchief
ETC_20150317_002366	Put a handkerchief into the box. We can do it again.
ETC_20150317_002367	There is no a key.{nl}Collect the keys from the monsters.
ETC_20150317_002368	Check the operational obelisk with a secondary magic tool
ETC_20150317_002369	Test failed
ETC_20150317_002370	Burned the funeral orations
ETC_20150317_002371	Burn a funeral oration
ETC_20150317_002372	Repairing scarecrow
ETC_20150317_002373	Select dialog 1
ETC_20150317_002374	Select dialog 2
ETC_20150317_002375	Leave the place. 
ETC_20150317_002376	First space 
ETC_20150317_002377	Second space 
ETC_20150317_002378	Third space 
ETC_20150317_002379	Fourth space 
ETC_20150317_002380	Firewood
ETC_20150317_002381	Please lead to the goddess.
ETC_20150317_002382	Absorbed the energy of the guardian
ETC_20150317_002383	Moving.
ETC_20150317_002384	Do not move.
ETC_20150317_002385	{@st59} Increase SP and SP recovery {/}
ETC_20150317_002386	{nl} Quest Completed
ETC_20150317_002387	I saw it. It's obviously not Deadborn.
ETC_20150317_002388	It's not Deadborn.
ETC_20150317_002389	Why would I have followed it if it is Deadborn?
ETC_20150317_002390	Deadborn in Saltistter? That doesn't make any sense.
ETC_20150317_002391	Prerequisite: 
ETC_20150317_002392	Level or higher
ETC_20150317_002393	Level or below
ETC_20150317_002394	Rank
ETC_20150317_002395	Rank or higher
ETC_20150317_002396	Rank below
ETC_20150317_002397	Male characters only
ETC_20150317_002398	Female characters only
ETC_20150317_002399	Вещи
ETC_20150317_002400	Item needed
ETC_20150317_002401	 required
ETC_20150317_002402	Subquest Conditions{nl}
ETC_20150317_002403	You have not completed the pre-requisite of this quest. You cannot proceed with the party.
ETC_20150317_002404	Murky energy is flowing out. Run away.
ETC_20150317_002405	Successfully destroyed the Demon Summoner
ETC_20150317_002406	Destroy spell purifier
ETC_20150317_002407	Insane Panto
ETC_20150317_002408	Failed to protect the purifying altar
ETC_20150317_002409	Successfully defeated Gaigalas! {nl} Cut off the root of Bramble.
ETC_20150317_002410	Successfully defeated Molich! {nl} Cut off the root of Bramble.
ETC_20150317_002411	Successfully defeated the root of Bramble. Defeat Gaigalas.
ETC_20150317_002412	Successfully defeated the root of Bramble. Defeat Molich.
ETC_20150317_002413	Successfully purified murky force
ETC_20150317_002414	Failed to protect royal tombstone lantern!
ETC_20150317_002415	The Corrupt Vikaras exploded!
ETC_20150317_002416	The Corrupt Vikaras is about to explode
ETC_20150317_002417	Failed to prevent destroying the royal tombstone!
ETC_20150317_002418	About when the Great Cathedral was built
ETC_20150317_002419	About Naktis
ETC_20150317_002420	Soul of integer won!
ETC_20150317_002421	It's transformed souls.
ETC_20150317_002422	Essence of souls scattered in the air like dust.
ETC_20150317_002423	Turn on 1
ETC_20150317_002424	Turn on 2
ETC_20150317_002425	Turn on 3
ETC_20150317_002426	Turn on 4
ETC_20150317_002427	Turn on 5
ETC_20150317_002428	Turn on 6
ETC_20150317_002429	Checking the Essence
ETC_20150317_002430	Checking the Scripture
ETC_20150317_002431	Scripture won!
ETC_20150317_002432	It is a too old and dirty bible.
ETC_20150317_002433	It is very helpful even if it is old
ETC_20150317_002434	I ask the position of the device
ETC_20150317_002435	The relic matches the altar!
ETC_20150317_002436	You will not be able to put the Holy relics at home.
ETC_20150317_002437	Insert the Holy Relic of Mercy
ETC_20150317_002438	Insert the Holy Relic of Salvation
ETC_20150317_002439	Already waiting for the soul of the bishop Aurelius.
ETC_20150317_002440	Examining
ETC_20150317_002441	You found the item underground
ETC_20150317_002442	Nothing was found
ETC_20150317_002443	Тип
ETC_20150317_002444	Атрибут
ETC_20150317_002445	x{Count} получено
ETC_20150317_002446	Found the reference related with Naktis
ETC_20150317_002447	Failed to find the reference related with Naktis
ETC_20150317_002448	Obtained the herb!
ETC_20150317_002449	Device seems to be open
ETC_20150317_002450	Use a key.
ETC_20150317_002451	Just leave it
ETC_20150317_002452	Open the device to use the key.
ETC_20150317_002453	I know the place what you want to find.
ETC_20150317_002454	I know the place what the stuff hidden by human.
ETC_20150317_002455	There is a chance to impress Naktis
ETC_20150317_002456	We need to hurry to find it.
ETC_20150317_002457	Now is the time.
ETC_20150317_002458	Successfully persuaded.
ETC_20150317_002459	I'll be there first!
ETC_20150317_002460	The transformation worked!{nl}Leak the information to Naktis' servants.
ETC_20150317_002461	Drinking the Transformation Potion
ETC_20150317_002462	Okay...
ETC_20150317_002463	Unseal device
ETC_20150317_002464	Unsealing device
ETC_20150317_002465	Use the red key
ETC_20150317_002466	Use the blue key
ETC_20150317_002467	Use the purple key
ETC_20150317_002468	Use the green key
ETC_20150317_002469	Use the yellow key
ETC_20150317_002470	Beads begin to glow
ETC_20150317_002471	There is no key.
ETC_20150317_002472	Tips on solving the secret
ETC_20150317_002473	Method for obtaining the Holy Relic
ETC_20150317_002474	About relics
ETC_20150317_002475	Ask about a second device
ETC_20150317_002476	Navigation of next device
ETC_20150317_002477	The herb is rotten.
ETC_20150317_002478	Examining the contents...
ETC_20150317_002479	Examining the contents related with the herb
ETC_20150317_002480	It's not related with the herb.
ETC_20150317_002481	Naktis' servants have destroyed the pot.
ETC_20150317_002482	Doubt about the durability of Maven's device
ETC_20150317_002483	Naktis' Servants
ETC_20150317_002484	Whereabouts of the last key
ETC_20150317_002485	Whereabouts of Naktis
ETC_20150317_002486	The orbs and keys
ETC_20150317_002487	Absorbed the weak Petrifying Frost.
ETC_20150317_002488	Collecting
ETC_20150317_002489	Collected petrified flower!
ETC_20150317_002490	Covering
ETC_20150317_002491	Covered with fragrant stone powder!
ETC_20150317_002492	The monster is already covered with fragrant stone powder.
ETC_20150317_002493	Low level Ice Wall
ETC_20150317_002494	Used low level ice wall scroll. {nl} Damage the monsters as much as you can!
ETC_20150317_002495	Using Scroll
ETC_20150317_002496	Acquired the stolen materials!
ETC_20150317_002497	Checking Portal
ETC_20150317_002498	It seems to be working!
ETC_20150317_002499	There is no sign of it working at all.
ETC_20150317_002500	Attaching propaganda
ETC_20150317_002501	Attached the Royal Army propaganda!
ETC_20150317_002502	Information about the Royal Army recruitment has been posted. {nl} It's hanging high up on the wall.
ETC_20150317_002503	Destroyed the record of insurgents!
ETC_20150317_002504	Obtained damaged propaganda.
ETC_20150317_002505	Covering the smell
ETC_20150317_002506	Covered the supplies with monster's odor.
ETC_20150317_002507	Odor of this monster was already covered on supplies.
ETC_20150317_002508	Used the bomb!
ETC_20150317_002509	Acquired the records.
ETC_20150317_002510	Телепорт
ETC_20150317_002511	You... Everyone must die!
ETC_20150317_002512	It won't end like that!
ETC_20150317_002513	Посмотреть Коллекцию
ETC_20150317_002514	Посмотреть Журнал Приключений
ETC_20150317_002515	I'll make a donation
ETC_20150317_002516	I see the request
ETC_20150317_002517	Another player is already harvesting.
ETC_20150317_002518	Using the scroll...
ETC_20150317_002519	Setting up Jar of Fire...
ETC_20150317_002520	Opening the Box...
ETC_20150317_002521	Already found the Jewel of Prominence
ETC_20150317_002522	Found the Jewel of Prominence
ETC_20150317_002523	Information on the Central Purifier on the 1st Floor
ETC_20150317_002524	Information on the Passage Purifier on the 1st Floor
ETC_20150317_002525	Information on the Auxiliary Purifier on the 2nd Floor
ETC_20150317_002526	You defeated Bearkaras. {nl} Find useful parts from the spare purifier.
ETC_20150317_002527	Information on the Main Purifier on the 2nd Floor
ETC_20150317_002528	The compass is not responding
ETC_20150317_002529	The Purifier here works well.
ETC_20150317_002530	You can hear machines working from across. {nl}There may be lubricants in District 5.
ETC_20150317_002531	The sound of the machine is getting clearer. {nl} There may be lubricants in District 5.
ETC_20150317_002532	Checking Compass
ETC_20150317_002533	Found lubricant. {nl} Go back and repair the Magic Supply Device.
ETC_20150317_002534	All Purifier Pipes are working. {nl} Reactivate Purifiers circulation.
ETC_20150317_002535	Found all parts needed for repairs. {nl} Return to the main purifier and fix it.
ETC_20150317_002536	The Magic is slowly leaking out from the Jewel of Prominence. {nl} It's better to quickly find and remove the cause.
ETC_20150317_002537	Stand in front of the valve to check it.
ETC_20150317_002538	Please proceed after defeating the Bearkaras.
ETC_20150317_002539	You've found the parts!{nl} Return to the purifier at the entrance and fix it.
ETC_20150317_002540	You've found the parts!{nl} Return to the central purifier and fix it.
ETC_20150317_002541	You defeated the Stone Whale that was interrupting your search. {nl} Find the remaining parts of the main purifier.
ETC_20150317_002542	Operating the Guardian Stone
ETC_20150317_002543	The Guardian Stone's energy has been released!
ETC_20150317_002544	The Guardian Stone has not been charged yet
ETC_20150317_002545	The Guardian Stone's energy has been charged
ETC_20150317_002546	Drawing out Oil
ETC_20150317_002547	No more reference related with Naktis.
ETC_20150317_002548	Re-collecting the priest's book...
ETC_20150317_002549	Re-collecting Maven's key...
ETC_20150317_002550	Obtained Maven's key!
ETC_20150317_002551	Naktis' servants are being too disrupting!
ETC_20150317_002552	Using Maven's key...
ETC_20150317_002553	Experimental Matsum
ETC_20150317_002554	Pouring the Acid Solution
ETC_20150317_002555	Using the Magic Crystal
ETC_20150317_002556	Recovering the Holy Relic
ETC_20150317_002557	Relic not detected
ETC_20150317_002558	Detecting a Relic
ETC_20150317_002559	Use Enchant Scroll
ETC_20150317_002560	There was no reaction
ETC_20150317_002561	The monster fainted
ETC_20150317_002562	The monster exploded
ETC_20150317_002563	Mise to prove that you are the person clearly
ETC_20150317_002564	Door is opened. Please won the revelation
ETC_20150317_002565	And about in the paint of the meat
ETC_20150317_002566	Need more meats
ETC_20150317_002567	Feel hunger and have a headache
ETC_20150317_002568	I'm full
ETC_20150317_002569	Giving the meat to the Pilgrim
ETC_20150317_002570	Running the device
ETC_20150317_002571	Additional damage {Auto_1}!
ETC_20150317_002572	Absorption Physical {Auto_1}!
ETC_20150317_002573	Absorption SP {Auto_1}!
ETC_20150317_002574	Decreased cooldown by {Auto_1} seconds
ETC_20150317_002575	Shield Hitter {Auto_1}!
ETC_20150317_002576	Critical!
ETC_20150317_002577	Immunity!
ETC_20150317_002578	Provoke!
ETC_20150317_002579	Reflection Damage!
ETC_20150317_002580	Additional Auto_1} %% damage!
ETC_20150317_002581	Reduce {Auto_1} %% damage!
ETC_20150317_002582	Remove Shield!
ETC_20150317_002583	Counter!!
ETC_20150317_002584	Attribute Weapon Attack + {Auto_1}%
ETC_20150317_002585	Break Ice Rim Blow
ETC_20150317_002586	Break Rim Blow
ETC_20150317_002587	Adjust Rim Blow
ETC_20150317_002588	Close Shot Penalty
ETC_20150317_002589	Carve Attack
ETC_20150317_002590	Leave Guild
ETC_20150317_002591	Party Request
ETC_20150317_002592	Failed to create a party
ETC_20150317_002593	The name of the party already exists
ETC_20150317_002594	Leave the party
ETC_20150317_002595	Questionnaire title is too long
ETC_20150317_002596	Question
ETC_20150317_002597	Vote
ETC_20150317_002598	Set of access rights
ETC_20150317_002599	Cannot join anymore
ETC_20150317_002600	The party has acquired {Auto_1} EXP
ETC_20150317_002601	Party level has increased to {Auto_1}
ETC_20150317_002602	{Auto_1} Party Raid has started {nl} Press the button to join
ETC_20150317_002603	Joined {Auto_1}'s party
ETC_20150317_002604	Created {Auto_1} party
ETC_20150317_002605	{Inviter} has invited you to a party.{nl}Would you like to join?
ETC_20150317_002606	{PC} is already a member of a party
ETC_20150317_002607	You are not a member of a party
ETC_20150317_002608	Do you want to leave this party?
ETC_20150317_002609	Your party leader wants to disband the party {nl} Are you sure you want to disband the party?
ETC_20150317_002610	The party has been disbanded
ETC_20150317_002611	{@st41b} If you are not a member of a party, check the information below to create a new one {/}
ETC_20150317_002612	{@st41} Words of thanks {/}
ETC_20150317_002613	{@st41} Name {/}
ETC_20150317_002614	{@st43} Настройки пати {/}
ETC_20150317_002615	{@st41} Member Limit {/}
ETC_20150317_002616	{@st41b} Max {/}
ETC_20150317_002617	{@st41} Entry Limit{/}
ETC_20150317_002618	{@st41} Password {/}
ETC_20150317_002619	{@st41} Preferred Class {/}
ETC_20150317_002620	{@st41b} Random {/}
ETC_20150317_002621	{@st41b} Warrior only {/}
ETC_20150317_002622	{@st41b} Wizard only {/}
ETC_20150317_002623	{@st41b} Archer only {/}
ETC_20150317_002624	{@st41b} Cleric only {/}
ETC_20150317_002625	{@st41b} Sorcerer only {/}
ETC_20150317_002626	{@st41b} Public {/}
ETC_20150317_002627	{@st41b} Private {/}
ETC_20150317_002628	My Page
ETC_20150317_002629	Last Visit
ETC_20150317_002630	Open board and logout
ETC_20150317_002631	TP cycle
ETC_20150317_002632	You do not have any TP to give.
ETC_20150317_002633	Enter the amount of TP you want to gift.
ETC_20150317_002634	{Auto_2} ~ {Auto_1} ea
ETC_20150317_002635	You received {Count} TP as a gift from {Giver}.
ETC_20150317_002636	I gifted {Count} TP to {Receiver}.
ETC_20150317_002637	{Giver} has not enough TP to gift.
ETC_20150317_002638	{Receiver} can no longer receive TP for today.
ETC_20150317_002639	Fluid body of {Auto_1}
ETC_20150317_002640	You do not have enough TP.
ETC_20150317_002641	Your shout cannot exceed {MaxByte} bytes.
ETC_20150317_002642	This party does not exist.
ETC_20150317_002643	Expel
ETC_20150317_002644	Leave
ETC_20150317_002645	Party Info
ETC_20150317_002646	Make Party Leader
ETC_20150317_002647	has declined the party request.
ETC_20150317_002648	Do you want to join this party?
ETC_20150317_002649	Your shout cannot exceed {MaxLen} characters.
ETC_20150317_002650	You are already in a party
ETC_20150317_002651	You are currently not in a party.
ETC_20150317_002652	Всё
ETC_20150317_002653	There are not enough party members.
ETC_20150317_002654	Available time of next quest
ETC_20150317_002655	Quest can be progressed.
ETC_20150317_002656	Reconnection wait time
ETC_20150317_002657	Party Quest is possible.
ETC_20150317_002658	Only the party leader can do this.
ETC_20150317_002659	All members must come to {MapName} to begin the Quest.
ETC_20150317_002660	Not all members are not together.
ETC_20150317_002661	Members of party quest have been met. The quest will be available after a certain time.
ETC_20150317_002662	has left.
ETC_20150317_002663	Общий
ETC_20150317_002664	Крик
ETC_20150317_002665	Пати
ETC_20150317_002666	To {Who} and {Count} others
ETC_20150317_002667	Chat Room List
ETC_20150317_002668	This user does not exist.
ETC_20150317_002669	Party Quest Area
ETC_20150317_002670	This user does not exist or is offline.
ETC_20150317_002671	Введите фамилию команды игрока, чтобы пригласить.
ETC_20150317_002672	{TargetName} and {Count} others
ETC_20150317_002673	Start Auction
ETC_20150317_002674	Failed to start an auction
ETC_20150317_002675	Another auction is in progress
ETC_20150317_002676	No bidder
ETC_20150317_002677	The auction has been canceled
ETC_20150317_002678	{Auto_2} won the bid with {Auto_1} silver
ETC_20150317_002679	The auction has ended
ETC_20150317_002680	You earned {Auto_1} silver from the auction
ETC_20150317_002681	Already the highest bidder
ETC_20150317_002682	Bidding complete
ETC_20150317_002683	Do you want to bid?
ETC_20150317_002684	You received the item from the auction.
ETC_20150317_002685	Your item from the auction has been sold.
ETC_20150317_002686	Received money from the expired auction
ETC_20150317_002687	The auction has ended.
ETC_20150317_002688	Placed an item for auction!
ETC_20150317_002689	{Bidder} is the highest bidder for {ItemName}.{/}
ETC_20150317_002690	You are currently the highest bidder of {Auto_1}.{/}
ETC_20150317_002691	{ItemName} was put up for auction in {MapName}.
ETC_20150317_002692	{PC} has won {ItemName} from the auction.
ETC_20150317_002693	You cannot bid higher than the buyout price.
ETC_20150317_002694	Подтвердите покупку?
ETC_20150317_002695	Do you want to adopt this companion?
ETC_20150317_002696	Seller
ETC_20150317_002697	кол-во
ETC_20150317_002698	Unit Price
ETC_20150317_002699	Total Price
ETC_20150317_002700	Количество
ETC_20150317_002701	Your selling price must be at least 0 silver.
ETC_20150317_002702	Your selling quantity must be higher than 0.
ETC_20150317_002703	Your item has been successfully added to the Market.
ETC_20150317_002704	You have successfully purchased an item from the Market.{nl}Please check if you've received the item.
ETC_20150317_002705	There are too many search results. Use detailed search queries to narrow down your search.
ETC_20150317_002706	Are you sure you want to cancel the registration of this item?
ETC_20150317_002707	Your item has successfully been canceled from the Market.{nl}Please check if you've received the item.
ETC_20150317_002708	An equipped item cannot be added.
ETC_20150317_002709	Private
ETC_20150317_002710	Confirm
ETC_20150317_002711	Price: Low
ETC_20150317_002712	Price: High
ETC_20150317_002713	Newly Listed
ETC_20150317_002714	Price entered must be at least 1.
ETC_20150317_002715	Only skills that consume items are possible.
ETC_20150317_002716	Keep out! The stones should be delivered as soon as possible.
ETC_20150317_002717	Bleeding Arrow
ETC_20150317_002718	Penetrating Arrow
ETC_20150317_002719	Explosive Arrow
ETC_20150317_002720	[Craftable]
ETC_20150317_002721	Stamina
ETC_20150317_002722	Атака
ETC_20150317_002723	Attacking Speed
ETC_20150317_002724	Critical Rate
ETC_20150317_002725	Прочность
ETC_20150317_002726	Splash
ETC_20150317_002727	Accuracy
ETC_20150317_002728	Critical Resistance
ETC_20150317_002729	Splash Defense
ETC_20150317_002730	INT
ETC_20150317_002731	SPR
ETC_20150317_002732	Skill Attack
ETC_20150317_002733	Magic Resistance
ETC_20150317_002734	Dugout Attack
ETC_20150317_002735	Rim Attack
ETC_20150317_002736	Магическая Атака
ETC_20150317_002737	Магическая Защита
ETC_20150317_002738	Creates an additional slot when equipped
ETC_20150317_002739	Gender
ETC_20150317_002740	Maximum Socket(s)
ETC_20150317_002741	Sell to Shop
ETC_20150317_002742	Trade with Player
ETC_20150317_002743	Enhance Potential
ETC_20150317_002744	Цена продажи в магазине
ETC_20150317_002745	Equip Level
ETC_20150317_002746	Equip Class
ETC_20150317_002747	Piercing
ETC_20150317_002748	Slashing
ETC_20150317_002749	Striking
ETC_20150317_002750	Increase Range
ETC_20150317_002751	Increase range of Slashing
ETC_20150317_002752	Attack Range
ETC_20150317_002753	Attack Angle
ETC_20150317_002754	Block Rate
ETC_20150317_002755	Repeated Hit
ETC_20150317_002756	Rear Attack Range
ETC_20150317_002757	Use specific skill
ETC_20150317_002758	Possible
ETC_20150317_002759	Unavailable
ETC_20150317_002760	Critical Attack
ETC_20150317_002761	Critical Defense
ETC_20150317_002762	Tradable
ETC_20150317_002763	Untradeable
ETC_20150317_002764	Potion Recovery Rate
ETC_20150317_002765	SP Recovery
ETC_20150317_002766	Unable to sell
ETC_20150317_002767	Fire Property Attack
ETC_20150317_002768	Ice Property Attack
ETC_20150317_002769	Poison Property Attack
ETC_20150317_002770	Holy Property Attack
ETC_20150317_002771	Dark Property Attack
ETC_20150317_002772	Movement Speed
ETC_20150317_002773	HP Recovery
ETC_20150317_002774	Attack against Plant-type Targets
ETC_20150317_002775	Attack against Beast-type Targets
ETC_20150317_002776	Attack against Devil-type Targets
ETC_20150317_002777	Attack against Mutant-type Targets
ETC_20150317_002778	Wind Property Attack
ETC_20150317_002779	Fire Property Resistance
ETC_20150317_002780	Ice Property Resistance
ETC_20150317_002781	Poison Property Resistance
ETC_20150317_002782	Lightning Property Resistance
ETC_20150317_002783	Holy Property Resistance
ETC_20150317_002784	Dark Property Resistance
ETC_20150317_002785	AoE Attack Ratio
ETC_20150317_002786	AoE Defense Ratio
ETC_20150317_002787	2% chance of +300 additional damage when attacking
ETC_20150317_002788	3% chance of 20% receiving continuous damage equal to 20% HP when hit
ETC_20150317_002789	4% chance of +100 additional all resistance when hit by magic
ETC_20150317_002790	Lightning Property Attack
ETC_20150317_002791	Knockback Power
ETC_20150317_002792	Attack against Small-type Targets
ETC_20150317_002793	Attack against Medium-type Targets
ETC_20150317_002794	Attack against Large-type Targets
ETC_20150317_002795	Block
ETC_20150317_002796	Block Penetration
ETC_20150317_002797	Attack against Cloth Armored Targets
ETC_20150317_002798	Attack against Leather Armored Targets
ETC_20150317_002799	Attack against Plate Armored Targets
ETC_20150317_002800	Attack against Ghost Armored Targets
ETC_20150317_002801	Magic Penetration
ETC_20150317_002802	Item EXP
ETC_20150317_002803	Shooting Distance
ETC_20150317_002804	Speed
ETC_20150317_002805	Attack against Insect-type Targets
ETC_20150317_002806	Earth Property Attack
ETC_20150317_002807	Earth Property Resistance
ETC_20150317_002808	Physical Damage when mounted
ETC_20150317_002809	Magic Damage when mounted
ETC_20150317_002810	Pierce Defense
ETC_20150317_002811	Slash Defense
ETC_20150317_002812	Strike Defense
ETC_20150317_002813	Maximum Carry Weight
ETC_20150317_002814	Very Easy
ETC_20150317_002815	Easy
ETC_20150317_002816	Normal
ETC_20150317_002817	Hard
ETC_20150317_002818	Very Hard
ETC_20150317_002819	{S22}{ol}Next Quest Level: {Auto_1}
ETC_20150317_002820	Локация:
ETC_20150317_002821	{@st45w3}{s18}x{Auto_2} {Auto_1} {/}
ETC_20150317_002822	{@st41}Reward Received:
ETC_20150317_002823	{@st64} Подойдите к NPC и нажмите 
ETC_20150317_002824	Пробел
ETC_20150317_002825	чтобы начать разговор
ETC_20150317_002826	Отказаться от квеста
ETC_20150317_002827	Отменить
ETC_20150317_002828	Warp to
ETC_20150317_002829	Цель:
ETC_20150317_002830	Warrior Type
ETC_20150317_002831	Wizard Type
ETC_20150317_002832	Archer Type
ETC_20150317_002833	Cleric Type
ETC_20150317_002834	Sorcerer Type
ETC_20150317_002835	Human-type
ETC_20150317_002836	Devil-type
ETC_20150317_002837	Plant-type
ETC_20150317_002838	Beast-type
ETC_20150317_002839	Mutant-type
