QUEST_20150317_000001	Please select the user requiring a quest update.
QUEST_20161005_004738	Ah... This... This feeling...
QUEST_20161005_004739	{nl}It was you...
QUEST_20161005_004740	{nl}Gesti...!
QUEST_20161005_004741	It's been a long time Dalia.
QUEST_20161005_004742	I can't believe that my minions weren't even capable of stopping maggots like these...{nl}I am embarrassed that I trusted those worthless minions.
QUEST_20161005_004743	{nl}Wait... You...
QUEST_20161005_004744	{nl}Ha, I never thought we'd be able to meet again so quickly.{nl}I hope you haven't forgotten what happened at Tenet Church?
QUEST_20161005_004745	I didn't know that we would meet here...
QUEST_20161005_004746	I was looking forward to getting my revenge for Tenet Church...
QUEST_20161005_004747	You wait right there you naive Revelator!
QUEST_20161005_004748	{nl}Dalia, I will free you.{nl}Go and destroy whatever you meet with the power of Giltine!
QUEST_20161005_004749	{nl}The Tree will become stronger with all that destruction.{nl}I shall give my life for that to happen!
QUEST_20161005_004750	Guardian Kupoles of the cave... {nl}Please answer my call...
QUEST_20161005_004751	How could this be!{nl}Has... has the curse been removed?{nl}This can't be...{nl}
QUEST_20161005_004752	Gesti.{nl}You shall kneel in front of the power of the Goddesses.
QUEST_20161005_004753	I... Do you think that I'll simply kneel before you?!
QUEST_20161005_004754	Savior... I shall focus all of my power into the Divine Orb.{nl}Please defend me from Gesti while I do so.
QUEST_20161005_004755	The Revelator was no match for me even though it wasn't for lack of trying...
QUEST_20161005_004756	{nl}Dalia, it seems that you've merely regained temporary consciousness.{nl}I will continue to bathe you in the Giltine's energy until you succumb!
QUEST_20161005_004757	{nl}I won't stop until you have lost all sense of self and are entirely consumed!
QUEST_20161005_004758	Gesti...{nl}Bow before the power of your owner.
QUEST_20161005_004759	Wh...What?!{nl}How can you use the powers of Giltine!
QUEST_20161005_004760	Kupoles...{nl}Go back to your locations.
QUEST_20161005_004761	This is my last order.{nl}Please honor it.
QUEST_20161005_004762	Thank you Medena.{nl}You have gone through much in order to protect me thus far.
QUEST_20161005_004763	{nl}You even managed to call a Savior...{nl}Laima must have forseen all of this.
QUEST_20161005_004764	Savior, I thank you.{nl}I was able to undo some of my previous wrongdoings thanks to your efforts in purifying the chaos that surrounded me.
QUEST_20161005_004765	{nl}However, this is not the end of the adventure.{nl}You are destined for much greater deeds than this in the future...
QUEST_20161005_004766	{nl}So please, leave Gesti to me.
QUEST_20161005_004767	Just listen to you talking nonsense.
QUEST_20161005_004768	Gesti...Do you remember what you told me earlier...
QUEST_20161005_004769	{nl}You said that you would gladly give your life...
QUEST_20161005_004770	{nl}All preparations are complete.{nl}You shall die with me here.
QUEST_20161005_004771	It seems as if the demons are growing even more violent.
QUEST_20161005_004772	I hope the Goddess is still safe...{nl}I really do...
QUEST_20161005_004773	I can't believe that the Kupoles have become so weakened...
QUEST_20161005_004774	Even Serija has been captured by the demons...
QUEST_20161005_004775	I do at least feel a bit better now that I have seen her.
QUEST_20161005_004776	We have finally arrived at the place where Goddess Dalia is.{nl}I hope she is okay...
QUEST_20161005_004777	Even the Kupoles have trouble meeting Dalia without protection magic.
QUEST_20161005_004778	The demons have kidnapped Goddess Dalia!{nl}I saw them with my own two eyes!{nl}There were three of them!
QUEST_20161005_004779	Serija... She is wounded...{nl}We need to find her!{nl}
QUEST_20161005_004780	Goddess Dalia seems to have regained consciousness... I haven't seen her like this for a long time...
QUEST_20161005_004781	It sounds like the screams of Serija!{nl}Something must have happened!
QUEST_20161005_004782	Please tell me as soon as you are prepared.
QUEST_20161005_004783	Leave the lower levels to the Tala Tribe.
QUEST_20161005_004784	Now, the day of total destruction will come upon us.
QUEST_20161005_004785	We demons will free the goddess from her seal.
QUEST_20161005_004786	We shall take the goddess.
QUEST_20161005_004787	You must not allow humans or Kupoles to come to District 5 where the goddess is.
QUEST_20161005_004788	This voice... Medena... it's Medena.{nl}Are you nearby?
QUEST_20161005_004789	Savior...{nl}Savior, I have a favor to ask of you.{nl}This will most likely become my last request...
QUEST_20161005_004790	{nl}Please lead the Kupoles as far away from the Tevhrin Stalactite Cave as you can...{nl}There is not much time left.{nl}I will lose consciousness soon...
QUEST_20161005_004791	Soon, a great evil will arrive at the Tevhrin Stalactite Cave.{nl}Considering the strength of the energy... Kartas... or Gesti...
QUEST_20161005_004792	{nl}Whomever it may be, one of the demon lords are coming towards Tevhrin Stalactite Cave.{nl}I will soon be consumed by the power of chaos at this rate.
QUEST_20161005_004793	{nl}Then they will free me from the seal.{nl}What happens next will be... death and destruction...
QUEST_20161005_004794	{nl}So please... Go as far away as possible.{nl}Far enough away so that I will not be able to find you...
QUEST_20161005_004795	Ah... That...
QUEST_20161005_004796	{nl}Saule... an divine orb with Saule's powers...{nl}Perhaps that will be good enough...
QUEST_20161005_004797	{nl}If I can use my powers along with the divine orb with Saule's powers, I will be able to face the Demon Kings.{nl}However, I will have to maintain consciousness while resisting the power of chaos.
QUEST_20161005_004798	{nl}The curse is solidifying it's grasp on me once more.{nl}The many evil statues that the demons installed here and there while I was kidnapped...
QUEST_20161005_004799	{nl}They are adding even more energy to the power of the curse.{nl}I will prepare for the battle with the Demon Kings.
QUEST_20161005_004800	{nl}So please destroy the statues for me.{nl}This will allow me to be able to resist the power of chaos until I fight the Demon Kings...
QUEST_20161005_004801	The monsters here will have seen the demons hide the goddess.
QUEST_20161005_004802	I thought so... The Tala Tribe knew about the whereabouts of the goddess.
QUEST_20161005_004803	The Demon Kings... Do you think we'll have the power to face them?
QUEST_20161005_004804	Divine power this strong...{nl}It isn't any weaker than the energy of the Demon Kings I felt earlier!
QUEST_20161005_004805	There is no time to lose.{nl}The magical core should be enough to open the road.{nl}Let's go!{nl}
QUEST_20161005_004806	Goddess Dalia... Do you hear me?
QUEST_20161005_004807	Do you think this will end with my death?{nl}That is pathetic.
QUEST_20161005_004808	{nl}Kartas will tear your souls apart.{nl}You will regret not dying at my hands!
QUEST_20161005_004809	It's lucky that we at least found the demon's portal now.
QUEST_20161005_004810	The road has opened!{nl}Let's go to District 2 of Tevhrin Stalactite Cave!
QUEST_20161005_004811	Revelator...{nl}You and I have such a long and tenuous relationship!
QUEST_20161005_004812	{nl}I will end you for good this time!
QUEST_20161005_004813	Only a soul remains shining where Dalia stood.
QUEST_20161005_004814	Savior, you will save Dalia and Tevhrin Stalactite Cave.{nl}Just like Dalia's prophecy.
QUEST_20161005_004815	Good luck.
QUEST_20161005_004816	Who are you?{nl}
QUEST_20161005_004817	Do you have business here?
QUEST_20161005_004818	You cannot seem to find Lina.{nl}It seems as if she has gone to install supplements elsewhere.
QUEST_20161005_004819	You should try organizing what you have heard.
QUEST_20161005_004820	What are your thoughts on the leaves you've seen?{nl}
QUEST_20161005_004821	You think that it was balanced due to the struggle between the two of us?{nl}
QUEST_20161005_004822	I had never thought about that...
QUEST_20161005_004823	Balance...{nl}That makes sense.{nl}
QUEST_20161005_004824	Although I did ruin Lina's work, I never stopped her from doing anything.{nl}I always interrupted her work after she started it.{nl}
QUEST_20161005_004825	Maybe it was just the right timing to stop anything from dying?
QUEST_20161005_004826	I thought that we were causing trouble for the refugees.{nl}Whatever the case, we fought in front of the humans even when we should have been adhering to the will of the Goddesses.
QUEST_20161005_004827	{nl}However, I thought that protecting the forest was the way to protect the refugees here.
QUEST_20161005_004828	There doesn't seem to be anything special about the leaves even if their colors are quite vibrant.
QUEST_20161005_004829	You cannot see the growth rings outside of the stump.
QUEST_20161005_004830	You have already checked this stump.
QUEST_20161005_004831	What happened to the forest...{nl}I'm glad that the vegetation isn't overgrowing anymore but...
QUEST_20161005_004832	I am worried since there are less herbs for us to use...{nl}There are herbs that can only be gathered during autum, but each herb has it's own use.
QUEST_20161005_004833	Of course, it's beneficial in the short term since we have more wood to fell.{nl}However, there will be no more trees at this rate.{nl}
QUEST_20161005_004834	Trees don't grow during autum you see.
QUEST_20161005_004835	I wonder when I'll be able to get the report I requested...{nl}I have to report to the Chronomancer Master after reading it.
QUEST_20161005_004836	Thank you so much for helping.{nl}I was able to finish the experiments much faster thanks to your help.{nl}
QUEST_20161005_004837	Now I will be able to help the Chronomancer Master find a solution to solve this region's problems.
QUEST_20161005_004838	There doesn't seem to be anything here
QUEST_20161005_004839	It seems that you have collected another page.{nl}This... You seem to be able to make out what is written on it. Take it to Kostas?
QUEST_20161005_004840	The leaves aren't falling even when the trees are shaking.
QUEST_20161005_004841	Here, take this.{nl}I was able to finish it quickly thanks to your help.
QUEST_20161005_004842	You'll be able to find nearby objects with divine energy by using this.
QUEST_20161005_004843	What was on the written orders?
QUEST_20161005_004844	What happened to the investigation?{nl}We have to find it before the demons do...
QUEST_20161005_004845	I see you've safely retrieved the third clue!{nl}Thank you!{nl}
QUEST_20161005_004846	Did you say that you've managed to get the new orders??{nl}Let's see...{nl}
QUEST_20161005_004847	I think it's only a bit different from the previous one.{nl}It says that it should be retrieved from Diena instead of Gesti.{nl}
QUEST_20161005_004848	What do you think happened? The orders to retrieve them from different demons...
QUEST_20161005_004849	Are you saying that they are having an arguement between themselves?{nl}A demon that has issues with Gesti...{nl}
QUEST_20161005_004850	Demon lord Diena is one of the four commanders of Gesti.{nl}I can't believe that she'd argue with Gesti...{nl}
QUEST_20161005_004851	What do you think could have happened?{nl}Do you think this has anything to do with it?
QUEST_20161005_004852	Diena
QUEST_20161005_004853	You...?
QUEST_20161005_004854	{nl}Ah, you must be the Revelator that has been interrupting our work here.{nl}I trust you'll understand if I don't wish to greet you.
QUEST_20161005_004855	{nl}If you are trying to find traces of Ausrine here, you're too late.{nl}Where are the traces that you've taken?{nl}
QUEST_20161005_004856	I... I need them.{nl}Hand them over.
QUEST_20161005_004857	Me?{nl}What am I doing here?
QUEST_20161005_004858	{nl}You...{nl}The Revelator?
QUEST_20161005_004859	{nl}Ah... I remember a little now.{nl}I was born a fairy and lived protecting humans...
QUEST_20161005_004860	{nl}The last memory as a fairy was of Gesti appearing in front of me before Medzio Diena.{nl}I became a Demon Lord and... I wish that I had no recollection... 
QUEST_20161005_004861	{nl}There must have been a trace of my old self within me...{nl}Maybe this was Gesti's curse...
QUEST_20161005_004862	{nl}I wanted to go back to my life as a fairy...{nl}I required the power of Ausrine to do that...
QUEST_20161005_004863	{nl}That's why I tried to gather all of the traces before they went into Gesti's hands...{nl}However, I shall give you these traces.
QUEST_20161005_004864	{nl}Somebody is coming.{nl}Take these while I have a bit of my former self.
QUEST_20161005_004865	{nl}I do not require them any more...
QUEST_20161005_004866	Ugh, you again.{nl}I want to start attacking you at once when I think of our last meeting...{nl}
QUEST_20161005_004867	But I've come to do some cleaning up you see.{nl}I wont forget what I've suffered at Zachariel's Royal Mausoleum.{nl}
QUEST_20161005_004868	You shall die to my powers one day.
QUEST_20161005_004869	I've told Deadborn as well, but bring the traces to me before sending them to Gesti.
QUEST_20161005_004870	Who is the commander here?{nl}I told you to bring them to me.{nl}
QUEST_20161005_004871	I won't say this again.{nl}I am ordering you to bring the traces to me.
QUEST_20161005_004872	Dullahan, I seem to recall giving you orders to bring Ausrine's traces to me.
QUEST_20161005_004873	This is my final warning.{nl}Hand over the traces.
QUEST_20161005_004874	There is only an orb without any trace of the messenger.{nl}What could have happened to him?
QUEST_20161005_004875	Do you wish to use the raft?
QUEST_20161005_004876	The orb is blinking faintly.
QUEST_20161005_004877	The orb is shining.
QUEST_20161005_004878	Castle Dungeon Test
QUEST_20161005_004879	Castle Dungeon (Recommended Lv : 290){nl}Only you and your party members can enter together.{nl}Do you want to enter?
QUEST_20161005_004880	This is from before there was a large statue in Fedimian.{nl}Of course, there was a small statue even then.
QUEST_20161005_004881	In any case, the fact that one could lose money by dropping it on Fedimian soil {nl}has made Fedimians very careful in handling their money.
QUEST_20161005_004882	 Modestas admitted defeat and said he'd pay him pay back. As he was leaving the place with wagon in tow, the old alchemist broke into a strange smile that caught Modestas' attention.
QUEST_20161005_004883	 Unbelievably, the piece of lead turned into gold in front of Modestas after a flash of suspicious light. 
QUEST_20161005_004884	 Modestas knew these gambles were more than just about money. {nl}Modestas, a dedicated gambler, nodded along with the woman's words. He clearly looked to be a man with a huge burden, his facial expression dark. {nl}The old woman could sense Modestas' thoughts, so she made this proposal.
QUEST_20161005_004885	[Since you seem to be worrying about how to move this boulder, what about this?{nl}I usually don't change the deal, but I'll make a special offer to add some fun.{nl}How about seeing if I can move this boulder on to your cart?{nl}You'll be able to receive help moving the boulder even if you lose the bet.]{nl}Modestas nodded in agreement since the deal seemed fair.{nl}However, the old woman started talking as soon as she saw him nod.
QUEST_20161005_004886	When Modestas asked about the condition, the old woman answered.{nl}'You are to take the boulder, which I will load onto the wagon, to Klaipeda. Then, turn it into an object of value which everyone will recognize and esteem. If you are successful, then the punishment for losing the bet against me will become void. Your friends will not disappear. Although this is difficult, I will still give you one more chance since you've already lost the bet. How about it?'{nl}Like always, Modestas had no choice.
QUEST_20161005_004887	The moment Modestas agreed to the proposal, the old woman pointed her finger past him. {nl}Modestas turned around and to his surprise, the boulder he had trouble with was effortlessly placed on the wagon. By the time Modestas looked forward again, the old woman had already disappeared. {nl}
QUEST_20161005_004888	Because Modestas had no ropes or equipment to secure the boulder onto the wagon, he had to lean the wagon and carefully drive it to Klaipeda. {nl}On his way to Klaipeda, he again met the soldiers who he had earlier bet against. Their commanding officer was now aware of what had happened thus far, and wanted to apologize to Modestas for getting him caught up and hurt in his subordinates' affairs. {nl}
QUEST_20161005_004889	The officer offered him help as soon as he heard that Modestas would be moving the boulder to Klaipeda.{nl}The officer and his men secured the boulder with strong ropes to prevent it from falling off and said that he would accompany him to Klaipeda.{nl}Modestas thanked the soldiers and accepted their offer. 
QUEST_20161005_004890	Modestas met the alchemist on the way to Klaipeda.{nl}He gave the gold bar since a promise was a promise.{nl}The alchemist started talking to Modestas as he seemed surprised by the fact that Modestas gave the gold bar without any resistance.
QUEST_20161005_004891	Everyone listened to them talking since they where curious about the bet.{nl}That's how they started talking about how they got involved with Modestas. The alchemist became sorry for fooling Modestas.
QUEST_20161005_004892	That's why he told Modestas that he would make arrangements to help him when he got to Klaipeda.{nl}Modestas was able to take the boulder to the center of Klaipeda and set the boulder down in the Central Plaza.
QUEST_20161005_004893	Just as the boulder was set down by the soldiers, the alchemist came with someone.{nl}The person that came with the alchemist was the famous sculpture and Dievdirbys Tesla.{nl}The alchemest started talking.
QUEST_20161005_004894	[How about sculpting a Goddess Statue with this boulder in the center of Klaipeda. I think that everyone in Klaipeda will recognize it's value if the boulder becomes a Goddess Statue. If so, I think that the conditions between yourself and the old woman will be met.]{nl}Everyone there agreed that this would be a good idea.
QUEST_20161005_004895	As news spread, everyone in Klaipeda was pleased to know a Goddess Statue was planned for their city. {nl}However, one last problem remained, asides from winning their favor. And that question was, which goddess should the statue commemorate? {nl}The soldiers who gave help transporting the boulder were especially passionate about this issue, and began quarrelling again. {nl}
QUEST_20161005_004896	The person to solve this problem was none other than Modestas.{nl}He thought that even if he didn't set out to do so, he should try to organize things as he was raising a Goddess Statue in the center of Klaipeda.{nl}He realized that the Goddess had appeared in front of him in the form of an old woman and tried to let the other people know of this fact.{nl}The people decided to believe Modestas and the Goddess Statue was allowed to be made.
QUEST_20161005_004897	When the Goddess Statue was finally complete, the people of Klaipeda were curious to see which Goddess would stand in the center of their beloved city.{nl}However, they were alarmed to see that they could not recognize who the Goddess was. 
QUEST_20161005_004898	The Dievdirbys who had sculpted the statue had already vanished deep into the Kateen Forest, so the citizens of Klaipeda repeatedly questioned Modestas for her name. {nl}Despite the numerous questions, nobody received an answer from Modestas. {nl}At any rate, this is the story of how the Goddess Statue of Klaipeda came to be. Even now that statue stands in the center of Klaipeda.{nl}
QUEST_20161005_004899	And so, some people believed Modestas, having undertaken the goddesses' intervention, was an honest man who did not gamble. In reality, Modestas didn't stop making gambles until his death. {nl}
QUEST_20161005_004900	Since that time, whenever Modestas took on a wager, he always bet the same thing. The answer to the question of who the Statue of Klaipeda honored.{nl}To uncover the name of the goddess, numerous people challenged Modestas to a bet.{nl}
QUEST_20161005_004901	However, Modestas didn't lose a bet even under the most dire circumstances. Therefore, many years passed without anyone learning the truth about the Goddess Statue.{nl}Modestas passed away undefeated, but never betting again after that incident.
QUEST_20161005_004902	People were finally able to learn that the Goddess Statue in Klaipeda was meant to be Goddess Ausrine.{nl}Goddess Ausrine took betting away from a man's life, but she also created a interesting mystery and a Goddess Statue in the middle of Klaipeda. 
QUEST_20161005_004903	A Certain Alchemic Record (I)
QUEST_20161005_004904	{s35}{nl}A Certain Alchemic Record (I){/}
QUEST_20161005_004905	 I write this, seeing so many people struggling with the path of an alchemist, to help those who will come after me shall learn the skill 'Magnum Opus.'{nl}First of all, transmuting one type of root into another. The instruction is as follows.{nl}{nl} 0 | 0 | 0 {nl} 0 | 0 {nl} 0 {nl}Following the instruction allows the user to transmute one type of root into another by placing it in the order. However, it does not apply to all types of roots.{/}
QUEST_20161005_004906	 Secondly, the transmutation of one type of shell into another. The process is slightly more complicated than the previous method. There are some that work well the other not so much.{nl}{nl} 0 | 0 | 0 {nl} 0 | x | 0 {nl} 0 | 0 | 0 {nl} Placing it in that order, it can transmute one type of shell into another.{/}
QUEST_20161005_004907	 The last procedure to be included in this part 1 is how to transmute one type of wing to another. The possibilities are wider than the previous two. Even I, the author of this book, cannot fully categorize them all. The procedure is like the following.{nl}{nl} 0 | x | x | 0 {nl} x | 0 | 0 {nl} 0 | x | x | 0 {nl}
QUEST_20161005_004908	 As a final word, I do believe that there will be some who are having difficulties understanding this text. It bears repeating. Place one type of item in the place marked  
QUEST_20161005_004909	with 0
QUEST_20161005_004910	 But not in the place marked X. This concludes the basics of Magnum Opus.
QUEST_20161005_004911	We were able to get here by defeating the demons in the Lolopanther Area.{nl}We will be able to go to the Solmiki Area without being hindered by the demons for a while.
QUEST_20161005_004912	However, we should not stop here.{nl}The demons will soon start attacking us.
QUEST_20161005_004913	I am certain that your courage and sacrifices will move the Goddesses' minds.
QUEST_20161005_004914	The Lolopanther and Solmiki Areas were named after animals that followed the Goddesses.{nl}I suppose it may be unfamiliar to humans that are not used to them.
QUEST_20161005_004915	The demons in the Solmiki Area are much more stronger.{nl}You will have to make preparations before we can go.
QUEST_20161005_004916	I had aided Goddess Zemyna before the demons took over the Earth Tower.{nl}However, I haven't been able to see the Goddess since then.{nl}I became weaker by the 
QUEST_20161005_004917	I became so weak that all I can do now is to ask for help.{nl}That's why I have been waiting for you while hiding from the demons.
QUEST_20161005_004918	You seem to be holding a seal from the demon leaders.{nl}I'll help you get through the Tower quickly if you give me that seal.
QUEST_20161005_004919	How dare you intrude the resting place of a Goddess.{nl}Who are you?
QUEST_20161005_004920	My most sincere apologies for leaving my place for so long.{nl}The demons that took over the Tower had been stopping me from returning.{nl}I would never have made it back if not for these people.
QUEST_20161005_004921	I beg of you, please do not cast them out...
QUEST_20161005_004922	Kupole Ruta is talking about the world{nl}after Medzio Diena to Goddess Zemyna.
QUEST_20161005_004923	I was able to meet the Goddess thanks to you.
QUEST_20161005_004924	I would have perished if I had not met you.
QUEST_20161005_004925	I am planning on staying here with her.{nl}She needs me.
QUEST_20161005_004926	I shall send you to the Tower's entrance.{nl}May your returning journey be safe Revelator...
QUEST_20161005_004927	I am planning to stay near the Goddess and help her recover.{nl}There will be much I need to explain since the world has changed greatly.{nl}However, I am sure that she will go back to the world since she has seen your courage and sacrifice.
QUEST_20161005_004928	I am sure that there will be something you wish since you have endeavored to make it thus far.{nl}I cannot help you much, but I will be able to help you with your questions.
QUEST_20161005_004929	All life in the world is helping you maintain your lives and happiness.{nl}Even the small blades of grass that you step on.
QUEST_20161005_004930	All that grows on the earth is like a child to me.
QUEST_20161005_004931	The day called Medzio Diena was a shock to me as well.
QUEST_20161005_004932	All my sisters and my priests had prayed to me to help the humans.{nl}However, the plants are as precious to me as the lives of humans are.
QUEST_20161005_004933	That's why I had gone into the Earth Tower without making a decision.{nl}I had decided to close my eyes and ears.
QUEST_20161005_004934	However...{nl}After listening to Ruta, it seems as if there is reason to rethink about your world.
QUEST_20161005_004935	Revelator...{nl}Thank you for helping Ruta.
QUEST_20161005_004936	Please go back for the moment.{nl}Ruta will send you back to the entrance.
QUEST_20161005_004937	I do not want to do this.{nl}Sister... Can you not understand me?{nl}Please rethink this...
QUEST_20161005_004938	Goddess Vaivora
QUEST_20161005_004939	You have harmed my Kupoles, destroyed my library and are now threatening me.
QUEST_20161005_004940	{nl}Giltine, what happened to the bright sister I knew?{nl}Do you think that you will win his favor by doing this?
QUEST_20161005_004941	{nl}Please stop at once!
QUEST_20161005_004942	I thought that you would do this.{nl}I am sorry, but I'll do what I want.
QUEST_20161005_004943	{nl}Theodora, I am sure that you will know what I am about to do since you're a Kupole of Vaivora.
QUEST_20161005_004944	Theodora, no!{nl}I am fine, please don't listen to Giltine!
QUEST_20161005_004945	What are you doing Vaivora...
QUEST_20161005_004946	{nl}Hauberk... I heard that you were going places with a human wizard, but how dare you interefere with my work!
QUEST_20161005_004947	Agailla Flurry, what is this?{nl}You have set me up!
QUEST_20161005_004948	I do not lie, Hauberk.
QUEST_20161005_004949	{nl}You didn't ask me.{nl}I am sure you'll be more careful when making deals with humans in the future.
QUEST_20161005_004950	{nl}Of course, that is if Giltine lets you live.
QUEST_20161005_004951	Giltine...! This is a scheme of the human!{nl}I did not betray you!
QUEST_20161005_004952	You shall be punished.{nl}Very painfully...
QUEST_20161005_004953	I suppose this conversation will have to wait.
QUEST_20161005_004954	I am sure that I will be too tired to face Vaivora if I have to deal with all of you as well.{nl}I'll send someone to play with you instead of myself.
QUEST_20161005_004955	Kill them all.
QUEST_20161005_004956	The rest of you should come with me.
QUEST_20161005_004957	Operator
QUEST_20161005_004958	The number of relics being traded increased after the surge of adventurers entering the Earth Tower.{nl}I heard that the collector was being overcome with work and came here.{nl}I'll trade you for anything valuable you bring me.
QUEST_20161005_004959	You seem to be an adventurous type.{nl}The Kedora Merchant Alliance is a group that follows the Goddesses.{nl}We don't do any shady deals.
QUEST_20161005_004960	These are from adventurers just like you.{nl}I hope that we'll be able to start trading with you as well.
QUEST_20161005_004961	I did a lot of trading with other smaller kingdoms before coming here.{nl}There are many monsters that have not been seen before there.{nl}I heard that I had to come here not too long after returning from that place.
QUEST_20161005_004962	I'm a bit tired since it hasn't been long since I got here.{nl}Let's talk some more later.
QUEST_20161005_004963	I'll be waiting here for you to return with a bag full of marvelous objects.
QUEST_20161005_004964	Collecting Arcus Braken
QUEST_20161005_004965	You have collected Arcus Braken
QUEST_20161005_004966	Collecting Vink Flowers
QUEST_20161005_004967	You have collected Vink Flowers
QUEST_20161005_004968	Collecting Tulup Flowers
QUEST_20161005_004969	You have collected a Tulup Flower
QUEST_20161005_004970	Collecting Phamer Bracken
QUEST_20161005_004971	You have collected Phamer Bracken
QUEST_20161005_004972	Searching for Phamer Bracken
QUEST_20161005_004973	You have collected Phamer Bracken sprouts
QUEST_20161005_004974	You have collected fully grown Phamer Bracken
QUEST_20161005_004975	There doesn't seem to be Phamer Bracken near here
QUEST_20161005_004976	Collecting Aily Grass
QUEST_20161005_004977	You have obtained a monument fragment.
QUEST_20161005_004978	Collecting Mittelly Herbs
QUEST_20161005_004979	You have collected Mittelly Herbs
QUEST_20161005_004980	This cannot be used for medicine
QUEST_20161005_004981	Looking for cocoons
QUEST_20161005_004982	You have obtained the cocoon of a White Tree Forest Moth
QUEST_20161005_004983	You don't have any cocoons
QUEST_20161005_004984	Looking for usable wood
QUEST_20161005_004985	You have obtained wood
QUEST_20161005_004986	This doesn't seem to be usable as wood
QUEST_20161010_004987	You must have at least 5 recipes in your inventory.
QUEST_20161010_004988	You may only make the exchange once per day for each account.{nl}Please try again tomorrow.
QUEST_20161024_004989	Demon Hunt Recruiter
QUEST_20161024_004990	Demon Lord Warpulis is preparing to attack.{nl}Will you join the battle against the demons?
QUEST_20161024_004991	You didn't participate enough times yet.
QUEST_20161130_004993	Do you see anything you like? Pick one, the choice is yours.
QUEST_20161130_004994	An excellent choice, if you don't mind me commenting. It will be ready tomorrow.
QUEST_20161214_004995	Take this cube.{nl}Good luck!
QUEST_20161214_004996	The cube will be useful to you.
QUEST_20161214_004997	Combat experiences are especially important in times like these.
QUEST_20161214_004998	What tactics and what strategies were used in which situations.{nl}That is all valuable information.
QUEST_20161214_004999	Leading a guild is certainly a valuable experience.{nl}Thank you.
QUEST_20161214_005000	The tactics and strategies of a leader are all valuable information.
QUEST_20161214_005001	Identifier Sandra
QUEST_20161214_005002	Finding things that are hidden is always an interesting job.{nl}I'm sure there's something in it for you too.{nl}Alright, let me have a look.
QUEST_20161214_005003	My husband always prays to Goddess Zemyna.{nl}We can't afford getting on Her wrong side if we want our potatoes to grow.{nl}Zemyna is the goddess of the earth. She looks after the crops.
QUEST_20161214_005004	Seal Tombstone
QUEST_20161214_005005	Find the mystery in the gentle fire burning among magic.
QUEST_20161214_005006	Be the one to follow the first light in the blue sky.
QUEST_20161214_005007	Bow before the all-embracing goddess watching over you.
QUEST_20161214_005008	Cicas
QUEST_20161214_005009	Ugh... My chest feels like it's on fire...
QUEST_20161214_005010	Support Soldier
QUEST_20161214_005011	Jugrinas told me.{nl}You said you'd help with the investigation?{nl}
QUEST_20161214_005012	I'll go get Jugrinas and Cicas now.{nl}Thank you for helping.
QUEST_20161214_005013	The Demon-Goddess Treaty
QUEST_20161214_005014	A long time ago, the Creator ordained unto us our duty, and a disharmony of opposing ideas emerged.{nl}Countless eras have since passed.{nl}
QUEST_20161214_005015	Among the many conflicts of opinions, none was as fervent as the one concerning humanity.{nl}Ignoring the differences between both sides is sure to lead to a war.{nl}
QUEST_20161214_005016	Thus, Ausrine and Giltine, representing each side of the conflict, have agreed to a peace treaty.{nl}Today, we enact here the pledge agreed to and signed by both parties.{nl}
QUEST_20161214_005017	We are beings born of the same roots.{nl}Yet, we have carried out our dispute for too long; this treaty is, sadly, the sole occasion in which we have reached an agreement.{nl}
QUEST_20161214_005018	Without it, we will find nothing but even greater misfortune, and so we have agreed to comply with the directions that follow.{nl}Ausrine and Giltine as representatives, as well as all our brothers and sisters, hereby vow to subscribe to this agreement.{nl}
QUEST_20161214_005019	We choose this, one of the paths where we first let humankind out from under the ground, as the venue of our pact.{nl}As we diverged most widely in our opinions on humanity, we find this to be an appropriate location.
QUEST_20161214_005020	With the enactment of this treaty, we aim for a cessation of our millennia-long dispute.{nl}Furthermore, we make known our wish for this to become the start of eternal peace. 
QUEST_20161214_005021	{nl}First, we shall refer to Giltine, as well as all her allies and subordinates as Giltine's faction.{nl}Ausrine, along with her goddess and Kupole following, shall be referred to as Ausrine's faction.{nl}
QUEST_20161214_005022	One. Giltine's faction shall not, under any circumstances, cause any harm to humankind.
QUEST_20161214_005023	Two. Giltine's faction shall not, under any circumstances, attack or cause any harm to Ausrine's faction.{nl}
QUEST_20161214_005024	Three. Unless they themselves or the lives of humans are under threat, Ausrine's faction shall not attack Giltine's faction.{nl}
QUEST_20161214_005025	Four. Both factions agree not to make known to humans neither this agreement nor the history of the world prior to it.{nl}
QUEST_20161214_005026	Five. Should any clause of this agreement be violated, the perpetrators shall be consumed by the Divine Tree, regardless of their position,{nl}as that is the sole means for each faction to permanently destroy the other.
QUEST_20161214_005027	Six. Excluding cases pertaining to article Five, neither faction shall, under any circumstances, attempt to destroy the other through the Divine Tree.
QUEST_20161214_005028	Prophecy Tome
QUEST_20161214_005029	Go find the treaty seal at the site where it is kept.
QUEST_20161214_005030	First you will need to disable the magic that's guarding the treaty seal.{nl}Find the light of the seal and make all the other lights stand out to dispel the magic.
QUEST_20161214_005031	Once all the lights are glowing in another color, you can disable the seal's protective magic.{nl}Use the power of fate on the treaty seal to disable the protective magic.
QUEST_20161214_005032	To obtain the demon treaty, you need an evil offering.{nl}Of course, I don't expect you to be carrying around any evil objects.{nl}It may not be the best option, but I believe you can get some evil energy from monster blood.{nl}First, hunt the monsters to collect their blood.
