SKILL_20150317_000001	Атака
SKILL_20160224_006261	Increased attack for Holy property skills against characters.
SKILL_20160224_006262	Increased attack for Dark property skills against characters.
SKILL_20160224_006263	Increased defense against Stab property skills used on characters.
SKILL_20160224_006264	Increased defense against Slash property skills used on characters.
SKILL_20160224_006265	Increased defense against Strike property skills used on characters.
SKILL_20160224_006266	Increased defense against Missile property skills used on characters.
SKILL_20160224_006267	Increased defense against Урон Свойством Огня skills used on characters.
SKILL_20160224_006268	Increased defense against Ice property skills used on characters.
SKILL_20160224_006269	Increased defense against Poison property skills used on characters.
SKILL_20160224_006270	Increased defense against Lightning property skills used on characters.
SKILL_20160224_006271	Increased defense against Earth property skills used on characters.
SKILL_20160224_006272	Increased defense against Holy property skills used on characters.
SKILL_20160224_006273	Increased defense against Dark property skills used on characters.
SKILL_20160224_006274	Increased movement speed, Физический attack и magical defense
SKILL_20160224_006275	Increased party EXP rate for Instanced Dungeons
SKILL_20160224_006276	Increased EXP rate for using automatic Instanced Dungeon matching.
SKILL_20160224_006277	 - Able to learn up to 2 attributes simultaneously{nl} - уменьшится Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on  Market{nl} - +3 increased character movement{nl} - Can only trade 30 times
SKILL_20160224_006278	Increased Maximum Buff Count
SKILL_20160224_006279	Увеличение  maximum amount of buffs you can have by 1.
SKILL_20160224_006280	Swash Buckling: максимальный показатель НР
SKILL_20160224_006281	Увеличение  character's максимальный показатель НР by 5% за каждый уровень атрибута when [Swash Buckling] активна.
SKILL_20160224_006282	Langort: Усиление
SKILL_20160224_006283	Увеличивает урон, наносимый врагу способностью [Langort] На 1% за каждый уровень атрибута.
SKILL_20160224_006284	Using [Langort] Увеличение  шанс to block enemy attacks by 5% за каждый уровень атрибута. After a successful block,  enemy becomes будут поражены эффектом [Silence] for 3 Секунд.
SKILL_20160224_006285	Party members will receive a buff when [Swash Buckling] is used.
SKILL_20160224_006286	Targe Smash: Remove Опрокидывание
SKILL_20160224_006287	[Targe Smash] no longer knocks enemies back. (Only applies if this attribute is set to ON)
SKILL_20160224_006288	Decreases  movement speed of monsters affected by [Swell Body] by 15%, while increasing their Физический и magic attack by 20% за каждый уровень атрибута. ( effects do not count towards characters.)
SKILL_20160224_006289	Увеличение  movement speed of monsters affected by [Shrink Body] by 10%, while decreasing their Физический и magic attack by 25% за каждый уровень атрибута. ( effects do not count towards characters.)
SKILL_20160224_006290	Receive a [Quick Cast] effect with a 1% шанс за каждый уровень атрибута после использования способности a Rune Caster skill.  effect is based on  caster's skill level of [Quick Cast]. If [Quick Cast] hasn't been learned, then  duration of  skill is уменьшится along with receiving Lv1 effects.
SKILL_20160224_006291	Decreases  enemy's movement speed by 70% for 4 Секунд on a basic attack with a 5% шанс за каждый уровень атрибута while [Rune of Ice] активна.
SKILL_20160224_006292	Allies turned into giants by [Rune of Giants] gain Дополнительный HP according to [20% of  caster's CON] x [60 за каждый уровень атрибута].
SKILL_20160224_006293	Swift Step: Including Party Members
SKILL_20160224_006294	Applies  effects of [Swift Step] to party members.
SKILL_20160224_006295	Враги поражённые способностью [High Anchoring] have their critical resistance уменьшится by 3 за каждый уровень атрибута for 5 Секунд.
SKILL_20160224_006296	Враги поражённые способностью [Rapid Fire] имеют 50% шанс за каждый уровень атрибута of having their critical resistance уменьшится to 0 for 3 Секунд.
SKILL_20160224_006297	Claymore: Flying-type Compatibility
SKILL_20160224_006298	Deals 10% Дополнительный damage за каждый уровень атрибута on Flying-type monsters with [Claymore].
SKILL_20160224_006299	Detonate Traps: Flying-type Compatibility
SKILL_20160224_006300	Deals 50% Дополнительный damage за каждый уровень атрибута on Flying-type monsters with [Detonate Traps].
SKILL_20160224_006301	Coursing: Усиление
SKILL_20160224_006302	Увеличивает урон, наносимый врагу способностью [Coursing] На 1% за каждый уровень атрибута.
SKILL_20160224_006303	Snatching: Усиление
SKILL_20160224_006304	Увеличивает урон, наносимый врагу способностью [Snatching] На 1% за каждый уровень атрибута.
SKILL_20160224_006305	Rush Dog: Усиление
SKILL_20160224_006306	Увеличивает урон, наносимый врагу способностью [Rush Dog] На 1% за каждый уровень атрибута.
SKILL_20160224_006307	Retrieve: Усиление
SKILL_20160224_006308	Увеличивает урон, наносимый врагу способностью [Retrieve] На 1% за каждый уровень атрибута.
SKILL_20160224_006309	Needle Blow: Poison Усиление
SKILL_20160224_006310	Увеличение  poison damage dealt on an enemy with [Needle Blow] by 2 за каждый уровень атрибута.
SKILL_20160224_006311	Wugong Gu: Poison Усиление
SKILL_20160224_006312	Увеличение  poison damage dealt on an enemy with [Wugong Gu] by 2 за каждый уровень атрибута.
SKILL_20160224_006313	If [Call] is used,  hawk has a 50% шанс of fetching small items.
SKILL_20160224_006314	Headshot: Усиление
SKILL_20160224_006315	Headshot: Stun
SKILL_20160224_006316	Враги поражённые способностью [Headshot] имеют 2.5% шанс за каждый уровень атрибута to become будут поражены эффектом [Stun] for 3 Секунд.
SKILL_20160224_006317	Snipe: Stun
SKILL_20160224_006318	Враги поражённые способностью [Snipe] имеют 3.5% шанс за каждый уровень атрибута to become будут поражены эффектом [Stun] for 3 Секунд.
SKILL_20160224_006319	Safety Zone: Block Count
SKILL_20160224_006320	Увеличение  block count of [Safety Zone] by 1 за каждый уровень атрибута.
SKILL_20160224_006321	Exorcise: Duration
SKILL_20160224_006322	Увеличение  duration of [Exorcise]'s magic circle by 1 second за каждый уровень атрибута.
SKILL_20160224_006323	Class Rank 5 required
SKILL_20160224_006324	Rune Caster 1st Circle required
SKILL_20160224_006325	Волшебник 1st Circle required
SKILL_20160310_006326	Урон: #{SkillAtkAdd}#{nl}Attribute Урон: #{CaptionTime}#%{nl}Targets: #{CaptionRatio}#{nl}Consumes #{CaptionRatio2}#% SP каждые second
SKILL_20160310_006327	Урон: #{SkillAtkAdd}#{nl}Attribute Урон: #{CaptionRatio2}#%{nl}Targets: #{CaptionRatio}#{nl}Consumes 2% SP каждые second{nl}Maximum Длительность: 10 Секунд
SKILL_20160310_006328	Set up an upright shield to protect yourself from enemy attacks. Enemies without a target will attack  pavise instead.
SKILL_20160310_006329	Урон: #{SkillAtkAdd}#{nl}Blocks: #{CaptionRatio}#{nl}Pavise Длительность: #{CaptionTime}# Секунд
SKILL_20160310_006330	Дополнительный Enemy Level: #{CaptionRatio}#{nl}Длительность: #{CaptionRatio2}# Секунд
SKILL_20160310_006331	Restrained in  air.
SKILL_20160310_006332	Swash Buckling: Repel
SKILL_20160310_006333	Gravity Pole: Усиление
SKILL_20160310_006334	Увеличивает урон, наносимый врагу способностью [Gravity Pole] На 1% за каждый уровень атрибута.
SKILL_20160310_006335	Applies  effects of [Swift Step] to party members. ( effects will only be повысится to party members if this attribute is ON.)
SKILL_20160310_006336	[Crossfire] gets a 10% шанс каждые level of inflicting [Поджог] on targets for 6 Секунд. Burn Урон proportional to  character's Физический attack.
SKILL_20160315_006337	Aim at an enemy in a stable posture. Увеличение Missile property attacks for one time.
SKILL_20160317_006338	Урон: +#{CaptionRatio}#%{nl}Дополнительный Attribute Урон: #{CaptionRatio2}#{nl}Длительность: 10 Секунд
SKILL_20160317_006339	- Able to learn up to 2 attributes simultaneously{nl} - уменьшится Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on  Market{nl} - +3 increased character movement speed{nl} - Can only trade up to 30 times{nl
SKILL_20160317_006340	- Able to learn up to 2 attributes simultaneously{nl} - уменьшится Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on  Market{nl} - +3 increased character movement speed{nl} - Can only trade up to 30 times{nl
SKILL_20160323_006341	Party Horn
SKILL_20160323_006342	Урон: #{SkillAtkAdd}#{nl}Attribute Урон: #{CaptionRatio}#%{nl}Дополнительный Critical шанс: 62%
SKILL_20160323_006343	Урон: #{SkillAtkAdd}#{nl}Attribute Урон: #{CaptionRatio2}#%{nl}Физический Защита: -#{CaptionRatio}#{nl}Дополнительный Critical шанс: 40%{nl}Длительность: #{CaptionTime}# Секунд
SKILL_20160323_006344	Increased movement speed и Физический/magic attack
SKILL_20160323_006345	Magic Amplification
SKILL_20160323_006346	Amplified magic after a critical attack.
SKILL_20160323_006347	сниженно defense.
SKILL_20160323_006348	Уровень семьи
SKILL_20160323_006349	 - Able to learn up to 2 attributes simultaneously{nl} - уменьшится Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on  Market{nl} - +3 increased character movement{nl} - Increased maximum buff count{nl} - Able to use Premium Gestures{nl}
SKILL_20160323_006350	Увеличение  critical шанс of [Double Slash] by 7% за каждый уровень атрибута.
SKILL_20160323_006351	Увеличение  critical шанс of [Moulinet] by 12% за каждый уровень атрибута.
SKILL_20160323_006352	Увеличение  critical шанс of [Multi Shot] by 1.5% за каждый уровень атрибута.
SKILL_20160323_006353	Deals 20% Дополнительный damage за каждый уровень атрибута to Flying-type monsters , когда экипирован вместе с [Two-handed Bow].
SKILL_20160323_006354	Увеличение  critical шанс of [Spiral Arrow] by 13% за каждый уровень атрибута.
SKILL_20160323_006355	Carnivory: Duration Time
SKILL_20160323_006356	Увеличение  duration time of [Carnivory] by 1 second за каждый уровень атрибута.
SKILL_20160329_006357	Maximum Длительность: #{CaptionRatio2}# Секунд{nl}+#{CaptionRatio}#% Block during skill duration{nl}Длительность: 15 Секунд
SKILL_20160425_006358	 - Able to learn attributes instantaneously{nl} - уменьшится Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on  Market{nl} - +3 increased character movement{nl} - Increased maximum buff count{nl} - Able to use Premium Gestures{nl}
SKILL_20160426_006359	 - Able to learn attributes instantaneously{nl} - уменьшится Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on  Market{nl} - +3 increased character movement{nl} - Increased maximum buff count{nl} - Able to use
SKILL_20160718_006360	Temporarily grants immunity to being affected by Опрокидывание, knockdown и stagger. Also Увеличение  шанс to resist status abnormalities.
SKILL_20160718_006361	{#DD5500}{ol}[Физический] - [Slash]{/}{/}{nl}Charge forward while slashing, attacking any enemies that block your way. Has a шанс to deal Дополнительный damage to a stunned enemy.
SKILL_20160718_006362	{#DD5500}{ol}[Физический] - [Slash]{/}{/}{nl}Release a strong attack у врагов by spinning your body. Увеличение your Критический урон when  attack lands и deals Дополнительный damage to a stunned enemy. Also,  target takes Дополнительный slash damage for a certain period of time.
SKILL_20160718_006363	{#DD5500}{ol}[Физический] - [Strike]{/}{/}{nl}Use your shield и dash to push enemies away. Enemies nearby will fall down when hit with  shield. While Shield Charge активна, a шанс to block missile attack will be increased.
SKILL_20160718_006364	{#DD5500}{ol}[Физический] - [Slash]{/}{/}{nl}Hold down  key to crouch и move forward. Увеличение chances to evade и block enemy attacks и resistance against status ailments. Triggers an attack immediately after movement has ended.
SKILL_20160718_006365	{#DD5500}{ol}[Физический] - [Strike]{/}{/}{nl}Use your shield и sword to successively attack enemies.
SKILL_20160718_006366	Dethrone
SKILL_20160718_006367	{#993399}{ol}[Magic] - [Fire]{/}{/}{nl}Attack by continuously fuming fire forwards.{nl}Deals continuous Огненный урон to enemies with a шанс to cause enemies to take Дополнительный Огненный урон for a period of time. Во время чтения заклинания Адское Дыхание, you will block melee attacks.
SKILL_20160718_006368	INT персонажа: +#{CaptionRatio}#{nl}Дополнительный Magic Урон: +#{CaptionRatio2}#{nl}Длительность: #{CaptionTime}# Секунд
SKILL_20160718_006369	{#993399}{ol}[Magic]{/}{/}{nl}Encircle yourself with Части трупов that will damage nearby enemies. Has a шанс to deal Дополнительный damage to a decaying enemy.
SKILL_20160718_006370	{#993399}{ol}[Magic] - [Dark]{/}{/}{nl}Summon evil spirits to surround you for protection и attack  enemies upon contact. Each evil spirit can attack for a certain amount of times.
SKILL_20160718_006371	Урон: 400% + #{SkillAtkAdd}#{nl}Attribute Урон: #{CaptionRatio}#%{nl}Consumes 1 Rune Stone{nl}Время применения: 6 Секунд
SKILL_20160718_006372	Длительность: #{CaptionTime}# Секунд{nl}Увеличение Ice-property skill attack by 300%{nl}Consumes 1 Rune Stone{nl}Время применения: 6 Секунд
SKILL_20160718_006373	Giant Size Длительность: #{CaptionTime}# Секунд{nl}Magic Circle Длительность: 10 Секунд{nl}Defense, максимальный показатель НР: +#{CaptionRatio}#%{nl}Movement Speed: +#{CaptionRatio2}#{nl}Consumes 1 Rune Stone{nl}Время применения: 6 Секунд
SKILL_20160718_006374	Урон: #{SkillAtkAdd}#{nl}Attribute Урон: #{CaptionRatio}#%{nl}Consumes 1 Rune Stone{nl}Время применения: 6 Секунд
SKILL_20160718_006375	Resistance Effect шанс: +#{CaptionRatio}#%{nl}Длительность: #{CaptionTime}# Секунд{nl}Consumes 1 Rune Stone{nl}Время применения: 6 Секунд
SKILL_20160718_006376	Kneel down to improve your concentration. увеличивает ваш урон, attack speed и range. Either casting Kneeling Shot again or jumping will turn  kneeling state off.
SKILL_20160718_006377	{#DD5500}{ol}[Физический]{/}{/}{nl}Your companion holds on to a target. Decreases a target's Физический defense и attacks against  target will have an increased critical шанс. Also, deals continuous damage to  target.
SKILL_20160718_006378	{#DD5500}{ol}[Физический]{/}{/}{nl}Order your companion to drag a target towards you.  target becomes unable to attack и{nl}suffers continuous damage.
SKILL_20160718_006379	{#DD5500}{ol}[Физический] - [Strike]{/}{/}{nl}Command your hawk to divebomb enemies multiple times in  targeted area.  target is likely быть пораженными эффектом [Blind].
SKILL_20160718_006380	Урон: #{SkillAtkAdd}#{nl}Attribute Урон: #{KDownPower}#%{nl}Recovers HP equal to 5% of your максимальный показатель НР{nl}Дополнительный HP Recovery Rate: #{CaptionRatio}# ~ #{CaptionRatio2}#{nl}Magic Circle Длительность: #{CaptionTime}# Секунд
SKILL_20160718_006381	Создаёт a magic circle of  Guardian Saint.  target takes Урон способности  magic circle instead of  caster. Also, it Увеличение your SP и Stamina recovery.
SKILL_20160718_006382	призываемых существ a holy torch, improving  HP recovery of nearby allies. снижает  accuracy of nearby enemies. Also, when you are nearby  torch,  duration of harmful effects will reduce.
SKILL_20160718_006383	Дополнительный урон: +#{CaptionRatio}#{nl}Number of Hits: #{CaptionRatio2}#{nl}Allies Affected: #{CaptionTime}#{nl}Длительность: 60 Секунд{nl}Consumes 1 Holy Powder
SKILL_20160718_006384	{#DD5500}{ol}[Физический] - [Strike]{/}{/}{nl}Instruct your summoned zombies to celebrate.  zombies will deal little damage to anything they touch. Zombie's STR stat applies as Дополнительный damage.
SKILL_20160718_006385	Cooldown: -#{CaptionRatio}#% {nl}Movement Speed: -#{CaptionTime}# {nl}Statue Длительность: #{CaptionRatio2}# Секунд{nl}Consumes 1 Cedar Wood
SKILL_20160718_006386	{#DD5500}{ol}[Физический] - [Strike]{/}{/}{nl}Attacks an enemy marking them as a traitor. снижает resistance to Fire, Ice, Lightning и Poison of an enemy that receives  attack. Deals Дополнительный damage to a stunned enemy.
SKILL_20160718_006387	{#DD5500}{ol}[Физический] - [Strike]{/}{/}{nl}Use your trained fists to attack an enemy in quick succession.  target receives Дополнительный strike damage for a period of time.
SKILL_20160718_006388	{#DD5500}{ol}[Физический] - [Strike]{/}{/}{nl}Throw a coin by using  tip of your finger to inflict damage on an enemy.  target receives Дополнительный strike damage for a period of time.
SKILL_20160718_006389	Your body gets staggered.
SKILL_20160718_006390	Your body gets staggered. More vulnerable to Umbo Blow.
SKILL_20160718_006391	SP absorbed
SKILL_20160718_006392	Vulnerable to Slash Attacks
SKILL_20160718_006393	Receives Дополнительный Fire Damage.
SKILL_20160718_006394	Sonic Strike: Confusion
SKILL_20160718_006395	In a state of confusion. уменьшится Физический defense while Физический attack is increased.
SKILL_20160718_006396	Fastly Decreases Duration of Harmful Effects
SKILL_20160718_006397	GvG Spectator
SKILL_20160718_006398	Pre-GvG
SKILL_20160718_006399	Defense и Magic Defense Increase
SKILL_20160718_006400	Increased defense и magic defense.
SKILL_20160718_006401	Penguin Owner
SKILL_20160718_006402	Increased defense и magic defense.
SKILL_20160718_006403	Attack и Magic Attack Increase
SKILL_20160718_006404	Increased attack и magic attack.
SKILL_20160718_006405	Lesser Panda Owner
SKILL_20160718_006406	Increased Критический урон и critical attack.
SKILL_20160718_006407	- Able to learn attributes instantaneously{nl} - уменьшится Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on  Market{nl} - +3 increased character movement{nl} - Increased maximum buff count{nl} - Able to u
SKILL_20160718_006408	Field Boss Cube Unobtainable
SKILL_20160718_006409	Acquired Field Boss Cube.{nl}During  duration of this effect, you will be excluded from  cube queue и will not be able to obtain cubes.
SKILL_20160718_006410	You can use  skill while mounting a companion.
SKILL_20160718_006411	Увеличение  шанс of inflicting [Freeze] on Враги поражённые способностью [Ice Bolt] by 10% за каждый уровень атрибута. (Does not apply in Team Battle League.)
SKILL_20160718_006412	Увеличение  шанс to hit with twice  normal damage to enemies hexed by [Kurdaitcha] (or any other methods) by 1% шанс за каждый уровень атрибута. (Applies to characters other than  caster.)
SKILL_20160718_006413	If  target gets blinded by [Sonic Strike], there is a шанс it will be inflicted with confusion. Also, [Confusion] will decrease  target's Физический defence by 15% каждые level и increase Физический Attack by 2% каждые level.
SKILL_20160718_006414	Увеличение  duration of [Revive] by 7 Секунд за каждый уровень атрибута. (Does not apply in Team Battle League.)
SKILL_20160718_006415	Palm Strike: Без Нокдаунов
SKILL_20160718_006416	[Palm Strike] no longer knocks enemies down. (Only applies if this attribute is set to ON.)
SKILL_20160718_006417	Hand Knife: Без Нокдаунов
SKILL_20160718_006418	[Hand Knife] no longer knocks enemies down. (Only applies if this attribute is set to ON.)
SKILL_20160718_006419	Peltasta 2nd Circle required
SKILL_20160718_006420	Lv6 Umbo Blow required
SKILL_20160718_006421	Lv6 Rim Blow required
SKILL_20160718_006422	Peltasta 3rd Circle required
SKILL_20160723_006423	{#DD5500}{ol}[Физический] - [Strike]{/}{/}{nl}Use your shield и sword to attack multiple times.
SKILL_20160723_006424	Длительность: #{CaptionRatio}# Секунд{nl}призываемых существ #{CaptionRatio2}# Shadow Clones{nl}Damage Increase: +#{CaptionTime}#%
SKILL_20160723_006425	Property Resistance: +#{CaptionRatio}#{nl}Property Урон: -#{SkillSR}#%{nl}Nullification шанс: #{CaptionRatio2}#%{nl}Enemy's Magic Защита: -#{SkillFactor}#{nl}Длительность: #{CaptionTime}# Секунд
SKILL_20160723_006426	You have been reincarnated.
SKILL_20160723_006427	Increased defense effects
SKILL_20160723_006428	Increased Физический и magic defense, максимальный показатель НР.
SKILL_20160723_006429	Reset cooldown time
SKILL_20160723_006430	Necklace of Protection - Darkness
SKILL_20160723_006431	снижает Darkness property damage by 25%.
SKILL_20160723_006432	Bracelet of Protection - Darkness
SKILL_20160723_006433	Receive 10% less Darkness property damage каждые stack.
SKILL_20160723_006434	Necklace of Protection - Darkness II
SKILL_20160723_006435	снижает Darkness property damage by 30%.
SKILL_20160723_006436	Bracelet of Protection - Darkness II
SKILL_20160723_006437	Receive 15% less Darkness property damage каждые stack.
SKILL_20160723_006438	Necklace of Protection - Frost
SKILL_20160723_006439	снижает Ice property damage by 25%.
SKILL_20160723_006440	Bracelet of Protection - Frost
SKILL_20160723_006441	Receive 10% less Ice property damage каждые stack.
SKILL_20160723_006442	Necklace of Protection - Frost II
SKILL_20160723_006443	снижает Ice property damage by 30%.
SKILL_20160723_006444	Bracelet of Protection - Frost II
SKILL_20160723_006445	Receive 15% less Ice property damage каждые stack.
SKILL_20160723_006446	Necklace of Protection - Darkness III
SKILL_20160723_006447	снижает Darkness property damage by 35%.
SKILL_20160723_006448	Bracelet of Protection - Darkness III
SKILL_20160723_006449	Receive 20% less Darkness property damage каждые stack.
SKILL_20160723_006450	Deals Дополнительный damage to Mutant-type monsters
SKILL_20160723_006451	Deals Дополнительный damage to monsters depending on their size
SKILL_20160723_006452	Deals Дополнительный damage to monsters depending on their rank
SKILL_20160723_006453	Deals Дополнительный damage to monsters depending on their species
SKILL_20160723_006454	Deals Дополнительный damage to monsters depending on their properties
SKILL_20160723_006455	Increased Физический defense
SKILL_20160723_006456	Increased Darkness property damage
SKILL_20160723_006457	Increased Earth property damage
SKILL_20160723_006458	Increased Урон Свойством Огня damage
SKILL_20160723_006459	Increased Holy property damage
SKILL_20160723_006460	Increased Ice property damage
SKILL_20160723_006461	Increased Lightning property damage
SKILL_20160723_006462	Increased Poison property damage
SKILL_20160723_006463	Reflects Урон Свойством Огня damage
SKILL_20160723_006464	Has a шанс of reflecting Урон Свойством Огня damage.
SKILL_20160723_006465	Pouncing: Knockdown
SKILL_20160723_006466	Враги поражённые способностью [Pouncing] имеют 8% шанс за каждый уровень атрибута быть knocked down.
SKILL_20160723_006467	Swap: Shackle
SKILL_20160723_006468	Targets that are moved by [Swap] will be immobilized for 2 Секунд.
SKILL_20160723_006469	Damballa: Без Нокдаунов
SKILL_20160723_006470	[Damballa] no longer knocks enemies down. (Only applies if this attribute is set to ON.)
SKILL_20160723_006471	Counter Spell: Enemy Target
SKILL_20160723_006472	[Counter Spell] only removes enemy magic.
SKILL_20160811_006473	Физический Защита: +#{CaptionRatio}#%{nl}Физический Урон: -#{CaptionRatio2}#%{nl}Длительность: #{CaptionTime}# Секунд
SKILL_20160811_006474	Урон: #{SkillAtkAdd}#{nl}Attribute Урон: #{CaptionRatio}#%{nl}Время применения: 0.2 Секунд{nl}AoE Ratio: #{SkillSR}#
SKILL_20160811_006475	Maximum Link Numbers: #{CaptionRatio}#{nl}Count Limit: #{CaptionRatio2}#{nl}Длительность: #{CaptionTime}# Секунд
SKILL_20160811_006476	Урон: #{SkillAtkAdd}#{nl}Targets: #{CaptionRatio2}#{nl}Attribute Урон: #{CaptionRatio}#%{nl}Длительность: #{CaptionTime}# Секунд
SKILL_20160811_006477	Makes monsters re-appear at  same spot as where they died by manipulating time. You must use this near monsters for it to have effect.
SKILL_20160811_006478	Hides traps to conceal them from  enemy.  duration time may decrease depending on objects.
SKILL_20160811_006479	Урон: 200% + #{SkillAtkAdd}#{nl}Attribute Урон: #{CaptionRatio}#%{nl}Длительность: 1.5 Секунд{nl}Consumes 1 Divine Machine Arrow
SKILL_20160811_006480	{#993399}{ol}[Magic] - [Dark]{/}{/}{nl}Deals damage to cursed enemies from afar. Deals Дополнительный damage on every third casting if used in succession.
SKILL_20160811_006481	Concealed as to not be seen.
SKILL_20160811_006482	Increase Физический/Magical Defense
SKILL_20160811_006483	Физический/Magical Defense will be increased
SKILL_20160811_006484	Battlebird Owner
SKILL_20160811_006485	Увеличение HP и SP recovery rate.
SKILL_20160811_006486	120% increase in EXP gain from monsters{nl}x5 increase in Stamina recovery rate
SKILL_20160811_006487	240% increase in EXP gain from monsters{nl}x9 increase in Stamina recovery rate
SKILL_20160811_006488	50% increase in EXP gain from monsters{nl}x2 increase in Stamina recovery rate
SKILL_20160811_006489	Увеличение  attack of a summoned Skeleton Солдат На 1% за каждый уровень атрибута.
SKILL_20160909_006490	150% increase in EXP gain from monsters{nl}x5 increase in Stamina recovery rate
SKILL_20160909_006491	300% increase in EXP gain from monsters{nl}x9 increase in Stamina recovery rate
SKILL_20160925_006492	You are now surrounded by  energy of  Sweet Dumpling.
SKILL_20160925_006493	 power of  Jumbo Dumpling is spreading.
SKILL_20160925_006494	 power of  Honey Dumpling is spreading.
SKILL_20161005_006495	Scratch
SKILL_20161005_006496	Slash
SKILL_20161005_006497	Wild Breath
SKILL_20161005_006498	Warcry
SKILL_20161005_006499	Cannon Attack
SKILL_20161005_006500	Урон: #{SkillAtkAdd}#{nl}Attribute Урон: #{CaptionRatio}#%{nl}Время применения: #{CaptionTime}# Секунд{nl}АоЕ Радиус: #{SkillSR}#
SKILL_20161005_006501	Temporarily decrease defense of nearby enemies, и add that amount и a portion of target's level to your ATK.
SKILL_20161005_006502	Equipment Durability Penalty: -#{CaptionRatio}#%{nl}Consumed Silver Penalty: -#{CaptionRatio2}#%{nl}Gem, Monster Card и Blessed Gem Penalty: -#{CaptionTime}#%
SKILL_20161005_006503	Deadly Combo
SKILL_20161005_006504	{#DD5500}{ol}[Физический] - [Slash]{/}{/}{nl}Slashes multiple times to  front.
SKILL_20161005_006505	Урон: #{SkillAtkAdd}#{nl}АоЕ Радиус: #{SkillSR}#
SKILL_20161005_006506	Attack каждые Stack: +#{CaptionRatio}#%{nl}Defense каждые Stack: -#{CaptionRatio}#%{nl}Maximum Stacks: #{CaptionRatio2}#{nl}Длительность: #{CaptionTime}# Секунд
SKILL_20161005_006507	Zwerchhau
SKILL_20161005_006508	{#DD5500}{ol}[Физический] - [Slash]{/}{/}{nl}Swings  sword in one hand to attack a wide range of enemies.  targets that do not have plate defense type become more vulnerable to slash type attacks.
SKILL_20161005_006509	Урон: #{SkillAtkAdd}#{nl}Attribute Урон: #{CaptionRatio}#%{nl}АоЕ Радиус: #{SkillSR}#{nl}Длительность: #{CaptionTime}# Секунд
SKILL_20161005_006510	Sturtzhau
SKILL_20161005_006511	{#DD5500}{ol}[Физический] - [Slash]{/}{/}{nl}Strike with your weapon in a diagonal.  attack ignores a portion of enemy defense.
SKILL_20161005_006512	Урон: #{SkillAtkAdd}#{nl}Attribute Урон: #{CaptionRatio}#%{nl}АоЕ Радиус: #{SkillSR}#{nl}Ignores Enemy Защита: #{CaptionRatio2}#
SKILL_20161005_006513	Balestra Fente
SKILL_20161005_006514	{#DD5500}{ol}[Физический] - [Pierce]{/}{/}{nl}Charges forward.  attack decreases enemy critical resistance.
SKILL_20161005_006515	Урон: #{SkillAtkAdd}#{nl}Attribute Урон: #{CaptionRatio}#%{nl}Max. Targets: 10
SKILL_20161005_006516	Attaque au Fer
SKILL_20161005_006517	{#DD5500}{ol}[Физический] - [Pierce]{/}{/}{nl}Strikes  enemy hands to drop their weapons with a rapier.  enemy cannot get  effect of  weapon until they pick it up. ( enemy picks up  weapon automatically after duration.)
SKILL_20161005_006518	Урон: #{SkillAtkAdd}#%{nl}Attribute Урон: #{CaptionRatio}#%{nl}Enemy Disarm Длительность: #{CaptionTime}# Секунд
SKILL_20161005_006519	Gives up  Физический defense of  equipped shield to increase критический урон dealt with piercing attacks.
SKILL_20161005_006520	Critical Attack Increment: #{CaptionRatio}#%{nl}Длительность: #{CaptionTime}# Секунд
SKILL_20161005_006521	Fleche
SKILL_20161005_006522	{#DD5500}{ol}[Физический] - [Pierce]{/}{/}{nl}Stabs  enemy three times.
SKILL_20161005_006523	Cassis Crista
SKILL_20161005_006524	Equip your Cassis Crista и prepare for battle as a Murmillo. While  helmet is equipped, Murmillo skills can be used и  шанс to avoid enemy melee, missile, и magic attacks Увеличение. Use  skill again to remove  helmet.
SKILL_20161005_006525	Frenzied Slash
SKILL_20161005_006526	{#DD5500}{ol}[Физический] - [Slash]{/}{/}{nl}Perform a large leap forwards и strike foes on  ground. Enemies hit are temporarily stunned.
SKILL_20161005_006527	Урон: #{SkillAtkAdd}#{nl}Attribute Урон: #{CaptionRatio}#%{nl}Number of Targets#{CaptionRatio2}#{nl}Able to use while wearing  helmet
SKILL_20161005_006528	Evade Thrust
SKILL_20161005_006529	{#DD5500}{ol}[Физический] - [Pierce]{/}{/}{nl}Lunges  sword at  enemy's neck while defending one's self behind  shield. Immediately после использования способности  attack, you will receive slightly сниженно magic damage и your block шанс will be increased for a short time.
SKILL_20161005_006530	Урон: #{SkillAtkAdd}#{nl}Attribute Урон: #{CaptionRatio}#%{nl}АоЕ Радиус: #{SkillSR}#{nl}Able to use while wearing  helmet
SKILL_20161005_006531	Headbutt
SKILL_20161005_006532	{#DD5500}{ol}[Физический] - [Strike]{/}{/}{nl}Headbutt an enemy и turn them around. Has a шанс to stun enemies, и you as well if you are not wearing your helmet. Deals Дополнительный damage to enemies that are stunned.
